,Category,Question,Answer
,写真の配信方法について,,
,アップロード,イロドキカメラ（専用アプリ）を使わずに撮影した写真もアップロードはできますか？,"はい、可能です。
スマホ本体のカメラやデジカメ等で撮影した写真も、ホーム画面の「アップロード」から「ファイルを選択する」に進むことで手動でアップロードができます。"
,アップロード,写真のアップロードができません,"以下をご確認の上、解決しない場合はサポート事務局宛にご連絡ください。
・インターネットに接続されているか（通信が著しく遅くないか）
・推奨のブラウザ（Google Chrome/Microsoft Edge）を使用しているか
・写真の入ったフォルダごとアップロードしていないか
・画像のサイズが小さすぎるor大きすぎないか"
,アップロード,アップロードできるファイル形式は何ですか？,対応しているファイルの拡張子はJPEG、PNG、HEICです。
,アップロード,アップロード枚数に制限はありますか？,制限はございませんが、一度にアップロードする枚数が多くなると処理が重くなり時間がかかります。一度にアップロードする枚数は300枚程度までが推奨となります。
,アップロード,スマホやタブレットで撮影した写真をPCに移さずに端末から直接アップロードすることはできますか？,"はい、可能です。
撮影端末のブラウザから施設画面にログインし、「アップロード」から「ファイルを選択する」に進んでアップロードしてください。"
,アップロード,アップロード途中にキャンセルを押すとどうなりますか？,アップロードが途中で終了します。すでにアップロードされた写真は「写真チェック」の未配信写真に表示されていますので、削除もしくは配信処理を行ってください。
,アップロード,アップロード中の進捗表示は閉じても大丈夫ですか？,はい。アップロードの進捗表示を閉じ、それ以外の画面を操作していただいても問題ございません。ただし、ブラウザ自体（Google Chrome/Microsoft Edgeなど）を閉じるとアップロードが中断してしまいますのでご注意ください。
,アップロード,クラス全員に配信したい写真はどのようにアップロードすればいいですか？,アップロード画面の「分類方法を選ぶ」の欄で「クラス全体」を選択してアップロードしてください。集合写真や作品、給食など個人ふりわけをする必要がない写真はこの設定方法をご利用ください。アップロード後に配信設定から変更することもできます。
,AI（個人ふりわけ）,顔分類のAI精度が低い場合の改善方法はありますか？,"クラス管理＞クラス名＞園児名を選択し、AI用顔写真の追加/削除を行ってください。
※お顔が手や帽子で隠れていない写真が推奨されます。"
,AI（個人ふりわけ）,アップロード後、AIの個人ふりわけがいつ終わるかはどこで確認できますか？,ホーム画面＞写真チェック配信＞現在のステータスにて、対象クラスの個人ふりわけ欄に処理中の残り枚数が表示されます。「○」の表示があればAI処理が完了していますので、写真チェックに進んでください。
,AI（個人ふりわけ）,アップロードした写真が写真チェック画面に表示されません。,AIの個人ふりわけの結果、園児タグが付かず「配信しない写真」に入っている可能性が考えられます。お手数ですが未配信写真チェック画面の右下「配信しない写真」をご確認ください。
,AI（個人ふりわけ）,アップロードした写真が、ぐるぐるのまま処理が終わらず写真が表示されません。どうしたらいいですか？,AIの個人ふりわけ処理を行っている途中、もしくは処理の待機中である可能性が考えられます。しばらくたっても状況が変わらない場合は、サポート事務局宛にご連絡ください。
,AI（個人ふりわけ）,AIが識別しなかった園児も配信/記録することはできますか？,"はい、可能です。写真チェック画面で該当の写真を開き、右の設定欄「園児タグ」から追加したい園児を選択してください。写真上に手動でタグが付けられます。
※園児タグの表示位置は写真上のどこでも問題ありませんので、任意の位置をクリックしてください。"
,AI（個人ふりわけ）,配信NG設定をした園児の写真はどのようにふりわけられますか？,「配信しない写真」にふりわけされます。「配信しない写真」に入っている写真は次に写真を配信したタイミングで自動削除されますので、必要な際は配信設定を変更してください。
,写真チェック/配信,園児タグを編集することはできますか？,"はい、可能です。写真を開き、右の設定欄「園児タグ」から追加or削除したい園児を選択してください。追加時は写真上に手動でタグが付けられます。
※園児タグの表示位置は写真上のどこでも問題ありませんので、任意の位置をクリックしてください。"
,写真チェック/配信,「配信しない写真」に入っている写真はいつ削除されますか？,次に配信したタイミングで自動削除されます。その後は管理画面からデータの確認ができなくなりますので、ご注意ください。
,写真チェック/配信,配信前に施設で写真をダウンロードすることはできますか？,配信前の写真をダウンロードすることはできません。配信を完了させると写真管理からダウンロードすることが可能になりますので、まずは配信処理を行ってください。
,写真チェック/配信,写真を誤って配信してしまった場合、後から削除することはできますか？,"はい、可能です。ホーム画面のカレンダーの桜マークまたは写真管理画面から、該当写真を開いて「配信取消」ボタンをクリックしてください。
※施設管理・保護者アプリどちらの画面上からも写真が削除されます。
※削除されたデータは復活できませんので、十分ご注意の上操作してください。"
,写真チェック/配信,写真をトリミングすることはできますか？,はい、可能です。写真チェック画面で写真を大きく開いた際、画像上部にある「編集」（三つの点）をクリックすると編集画面が表示されます。
,写真チェック/配信,アップロードした写真の縦横の向きが違いました。回転させることはできますか？,はい、可能です。写真チェック画面で写真を大きく開いた際、画像上部にある「編集」（三つの点）をクリックすると編集画面が表示されます。
,写真チェック/配信,暗く写った写真の明るさ調節はできますか？,はい、可能です。写真チェック画面で写真を大きく開いた際、画像上部にある「編集」（三つの点）をクリックすると編集画面が表示されます。
,写真チェック/配信,写真のお気に入りとはどのような機能ですか？　保護者にも表示されますか？,配信後に写真を検索する時にお気に入りで絞り込むことができる先生向けの便利な機能です。配信前の写真チェック画面または配信後の写真管理画面で設定できます。保護者アプリには表示されません。
,写真チェック/配信,活動タグとはどのような機能ですか？　保護者にも表示されますか？,配信後に写真を検索する時に活動タグで絞り込むことができる先生向けの便利な機能です。配信前の写真チェック画面または配信後の写真管理画面で設定できます。
,写真チェック/配信,配信後の写真に記録される日付は撮影日ですか？配信を行った日ですか？,施設管理・保護者アプリどちらの画面でも共通で、配信を行った日で表示されます。
,写真チェック/配信,配信枚数に制限はありますか？,上限の制限はございませんが、サービス価値を感じていただくためにも、お一人あたり月30枚以上を目安に配信いただけますと幸いです。
,,,
,配信後の写真について,,
,写真管理,配信した写真を施設がダウンロードすることはできますか？,"はい、できます。費用は枚数無制限で無料です。
写真管理から対象の写真を開き、「ダウンロード」ボタンをクリックしてください。
また、写真検索結果画面の右上「選択」をクリックして写真を複数枚選択することで、一括ダウンロードも可能です。"
,写真管理,写真のデータ保管期限はいつまでですか？,対象園児の卒園月から1年後まで施設管理画面で閲覧、ダウンロードが可能です。
,写真管理,写真のお気に入りとはどのような機能ですか？　保護者にも表示されますか？,配信後に写真を検索する時にお気に入りで絞り込むことができる先生向けの便利な機能です。配信前の写真チェック画面または配信後の写真管理画面で設定できます。保護者アプリには表示されません。
,写真管理,活動タグとはどのような機能ですか？　保護者にも表示されますか？,配信後に写真を検索する時に活動タグで絞り込むことができる先生向けの便利な機能です。配信前の写真チェック画面または配信後の写真管理画面で設定できます。
,写真管理,写真管理から写真を開き、「配信取消」ボタンを押すとどうなりますか？,"施設管理・保護者アプリどちらの画面上からも該当写真が削除されます。
※削除されたデータは復活できませんので、十分ご注意の上操作してください。"
,最近のわくわく,最近のわくわくとはどのような機能ですか？,"ホーム画面右下の「もっと見る」を選択すると、過去1週間の配信写真からランダムで6枚選択された写真がレイアウト表示されます。右下の「プリント」から印刷することも可能です。また、各写真の下にはコメントを入力して印刷することも可能です。
※「×」で戻り、再度「もっと見る」を選択すると違う6枚が表示されます。"
,最近のわくわく,最近のわくわくに写真が表示されません？,過去1週間以内に配信した写真がない場合、写真は表示されません。一度、配信をお試しいただき再度ご確認ください。
,最近のわくわく,最近のわくわくに表示された写真を施設で選んで変更することはできますか？,写真はランダムで自動表示されますので、写真を選んで変更することはできません。再度「もっと見る」を選択すると違う6枚が表示されますので、何度かお試しください。
,,,
,カメラアプリについて,,
,撮影・アップロード,通信環境がない場所で撮影した写真もアップロードできますか？,"はい、できます。一時的にアプリ内に撮影データが保存され、通信環境下に戻ると施設管理画面にアップロードが行われます。
※通信環境下に戻っても自動でアップロードが行われない場合は、アプリのアップロード設定をご確認いただくか、お手数ですがアプリ左下の写真アイコンをクリックして、手動でアップロードをお試しください。"
,撮影・アップロード,撮影した写真が自動アップロードされません。,ネットワーク接続状況をご確認ください。ネットワークに繋がっているにもかかわらずアップロードが完了していない場合、お手数ですがアプリ左下の写真アイコンをクリックして手動でアップロードをお試しください。
,その他,カメラアプリのログインID・パスワードはどこで分かりますか？,ログインIDは先生アカウントIDとなり、施設管理画面のアカウント管理＞先生アカウント情報＞先生お名前を選択し、確認が可能です。パスワードをお忘れの場合は、先生アカウント情報から対象の先生アカウントIDの「パスワードを初期化する」を実行してください。
,その他,クラス配信がしたい写真を、カメラアプリにて個人ふりわけで撮影してしまいました。配信前に修正はできますか？,はい、できます。施設管理画面に個人ふりわけ後の写真が表示されますので、写真を開き、右の設定欄の「クラス配信ボタン」をONにしてください。クラス全体に配信される写真一覧に移動します。
,その他,カメラアプリで撮影した写真を端末にダウンロードできますか？,カメラアプリの撮影データは施設管理画面にアップロードするか、削除するかのどちらかのため、端末にダウンロードはできません。保護者配信後に施設管理画面からはダウンロードすることが可能ですので、そちらをお試しください。
,その他,アップロード先のクラスはどのようにして一覧から更に追加することができますか？,施設管理画面のアカウント管理の先生アカウント情報で、対象の先生アカウントに担当クラスを追加選択していただくとアップロード先に追加できます。
,,,
,保護者アプリについて,,
,登録,保護者が配布した登録用紙を紛失した場合はどうしたらいいですか？,"施設さまにて登録用紙の再発行を行い、新しいQRコードで登録してください。
※以前のQRコードは利用できなくなります。"
,登録,初回登録用紙の登録期限が切れてしまった場合はどうしたらいいですか？,"施設さまにて登録期限を再設定した登録用紙の再発行を行い、新しいQRコードで登録してください。
※以前のQRコードは利用できなくなります。"
,登録,保護者から「QRコードを読み込むと読み取り済みとエラー表示が出て登録できない」と連絡がありましたが、どうしたらいいですか？,すでに保護者アカウントのご登録がお済みであることが考えられます。お心当たりがない場合は施設さまにて該当園児の再登録と登録用紙の再発行を行い、新規でご登録ください。
,登録,保護者から「確認コードが届かない」と連絡がありましたが、どうしたらいいですか？,保護者の方に入力したメールアドレスが正しいかご確認いただくようにお伝えください。また、イロドキからの確認コード通知メール（support@irodoki.com）が迷惑メールフォルダ等に自動で振り分けられてしまうことがありますので、そちらもご確認いただくようにお伝えください。
,ログイン,保護者から「アカウントがロックされてログインできない」と連絡がありましたが、どうしたらいいですか？,"誤ったパスワードの入力が5回連続して行われた場合にロックがかかります。ロックから1時間で解除となりますので、しばらく時間を空けてから再度お試しいただくようにお伝えください。それでも解決しない場合は、お手数ですが、イロドキサポート事務局までお問い合わせいただくようご連絡をお願いいたします。
メール：support@irodoki.com　
電話:06-4967-1283　
※受付時間：平日9 時～17 時（土日祝・GW ・夏季休暇・年末年始等を除く）"
,ログイン,保護者から「ログインパスワードを忘れてしまった」と連絡がありましたが、どうしたらいいですか？,保護者アプリのログイン画面のログインボタン下の「パスワードが不明な方」を選択し、登録メールアドレスを入力することでパスワード再設定に進むことができますので、そちらから再設定いただくようにお伝えください。
,ログイン,保護者が機種変更等によってメールアドレスが変更になった場合は、どうしたらいいですか？,"保護者アプリにログイン中の場合は設定の会員情報設定からメールアドレスの変更を行っていただくようにお伝えください。ログアウト状態で古いメールアドレスで新しい端末からログインしようとすると確認コードによる認証が発生することがあります。確認コードが届いている古いメールアドレス宛のメールが見れない場合はログインができませんので、お手数ですがイロドキサポート事務局までお問い合わせいただくようご連絡をお願いいたします。
メール：support@irodoki.com　
電話:06-4967-1283　
※受付時間：平日9 時～17 時（土日祝・GW ・夏季休暇・年末年始等を除く）"
,ログイン,保護者から「正しいメールアドレスを入力しているのに、アカウント登録がありませんとエラー表示が出てログインできない」と連絡がありましたが、どうしたらいいですか？,メールアドレスの先頭に空白が入力されていたり、「@」が全角になっているなどにより正しく認証されないケースがございます。今一度メールアドレスの入力文字をご確認いただくようにお伝えください。
,配信,配信すると保護者アプリではどのように見えますか？,メイン画面では、ご登録されたお子さまが写った写真のみが表示されます。複数のお子さまをご登録されている場合は、お子さまごとに分けて表示されます。クラス全体に配信した写真は、クラスタブに切り替えると表示されます。
,配信,保護者アプリで自身の子ども以外の写真も保護者は閲覧可能ですか？,お子さまが写っている写真（1人や複数人）とクラス全体配信された写真のみがアプリ上に配信されますので、別の園児の写真は閲覧することはできません。
,配信,配信処理をしてから保護者アプリに届くまでどれくらいの時間がかかりますか？,施設から保護者へ写真配信を行うと、保護者の方のスマホに即時表示されます。配信のお知らせは、プッシュ通知で自動送信されます。
